Year,Category,Winner
1927,Actor in a Leading Role,Emil Jannings
1927,Actress in a Leading Role,Janet Gaynor
1927,Cinematography,Charles Rosher / Karl Struss
1927,Directing (Comedy Picture),Lewis Milestone
1927,Directing (Dramatic Picture),Frank Borzage
1927,Best Picture,Wings
1927,Writing (Adapted Screenplay),Benjamin Glazer
1927,Writing (Original Story),Ben Hecht
1928,Actor in a Leading Role,Warner Baxter
1928,Actress in a Leading Role,Mary Pickford
1928,Art Direction,Cedric Gibbons
1928,Cinematography,Clyde De Vinna
1928,Directing,Frank Lloyd
1928,Best Picture,The Broadway Melody
1928,Writing (Adapted Screenplay),Hans Kraly
1929,Actor in a Leading Role,George Arliss
1929,Actress in a Leading Role,Norma Shearer
1929,Art Direction,Herman Rosse
1929,Cinematography,Joseph T. Rucker / Willard Van Der Veer
1929,Directing,Lewis Milestone
1929,Best Picture,All Quiet on the Western Front
1929,Writing (Adapted Screenplay),Frances Marion
1930,Actor in a Leading Role,Lionel Barrymore
1930,Actress in a Leading Role,Marie Dressler
1930,Art Direction,Max Rée
1930,Cinematography,Floyd Crosby
1930,Directing,Norman Taurog
1930,Best Picture,Cimarron
1930,Writing (Adapted Screenplay),Howard Estabrook
1930,Writing (Original Story),John Monk Saunders
1931,Actor in a Leading Role,Wallace Beery / Fredric March
1931,Actress in a Leading Role,Helen Hayes
1931,Art Direction,Gordon Wiles
1931,Cinematography,Lee Garmes
1931,Directing,Frank Borzage
1931,Best Picture,Grand Hotel
1931,Writing (Adapted Screenplay),Edwin Burke
1931,Writing (Original Story),Frances Marion
1932,Actor in a Leading Role,Charles Laughton
1932,Actress in a Leading Role,Katharine Hepburn
1932,Art Direction,William S. Darling
1932,Cinematography,Charles Bryant Lang Jr.
1932,Directing,Frank Lloyd
1932,Best Picture,Cavalcade
1932,Writing (Adapted Screenplay),Victor Heerman / Sarah Y. Mason
1932,Writing (Original Story),Robert Lord
1934,Actor in a Leading Role,Clark Gable
1934,Actress in a Leading Role,Claudette Colbert
1934,Art Direction,Cedric Gibbons / Fredric Hope
1934,Cinematography,Victor Milner
1934,Directing,Frank Capra
1934,Film Editing,Conrad Nervig
1934,Best Picture,It Happened One Night
1934,Writing (Adapted Screenplay),Robert Riskin
1934,Writing (Original Story),Arthur Caesar
1935,Actor in a Leading Role,Victor McLaglen
1935,Actress in a Leading Role,Bette Davis
1935,Art Direction,Richard Day
1935,Cinematography,Hal Mohr
1935,Directing,John Ford
1935,Film Editing,Ralph Dawson
1935,Best Picture,Mutiny on the Bounty
1935,Writing (Original Story),Ben Hecht / Charles MacArthur
1935,Writing (Adapted Screenplay),Dudley Nichols
1936,Actor in a Leading Role,Paul Muni
1936,Actor in a Supporting Role,Walter Brennan
1936,Actress in a Leading Role,Luise Rainer
1936,Actress in a Supporting Role,Gale Sondergaard
1936,Art Direction,Richard Day
1936,Cinematography,Gaetano Gaudio
1936,Directing,Frank Capra
1936,Film Editing,Ralph Dawson
1936,Best Picture,The Great Ziegfeld
1936,Writing (Original Story),Pierre Collings / Sheridan Gibney
1936,Writing (Adapted Screenplay),Pierre Collings / Sheridan Gibney
1937,Actor in a Leading Role,Spencer Tracy
1937,Actor in a Supporting Role,Joseph Schildkraut
1937,Actress in a Leading Role,Luise Rainer
1937,Actress in a Supporting Role,Alice Brady
1937,Art Direction,Stephen Goosson
